industryid,industry,companyid
1,Fintech,90
2,E-commerce & direct-to-consumer,49
3,Cybersecurity,50
4,Kuang-Chi,184
5,Health,207
6,Fintech,51
7,Fintech,52
8,Other,391
9,Fintech,53
10,Artificial intelligence,55
11,Travel,56
12,Fintech,57
13,Health,58
14,Internet software & services,59
15,Health,60
16,Artificial intelligence,61
17,Cybersecurity,62
18,E-commerce & direct-to-consumer,63
19,Fintech,64
20,Fintech,65
21,Internet software & services,66
22,Artificial intelligence,67
23,Internet software & services,68
24,Fintech,69
25,Health,70
26,Other,71
27,Internet software & services,72
28,Hardware,73
29,Consumer & retail,80
30,E-commerce & direct-to-consumer,81
31,Internet software & services,82
32,Health,83
33,Internet software & services,84
34,E-commerce & direct-to-consumer,85
35,Supply chain,86
36,logistics,86
38,Internet software & services,87
39,Data management & analytics,88
40,Artificial intelligence,89
41,Supply chain,91
42,logistics,91
44,Data management & analytics,92
45,Fintech,93
46,Internet software & services,94
47,E-commerce & direct-to-consumer,95
48,Health,96
49,Auto & transportation,97
50,Fintech,98
51,Fintech,99
52,Fintech,100
53,Artificial intelligence,101
54,Auto & transportation,102
55,Other,103
56,Data management & analytics,104
57,Fintech,105
58,Fintech,106
59,E-commerce & direct-to-consumer,108
60,Data management & analytics,109
61,Fintech,110
62,Auto & transportation,111
63,Artificial intelligence,112
64,Travel,113
65,Internet software & services,114
66,Fintech,116
67,Artificial intelligence,118
68,Health,119
69,Internet software & services,120
70,Internet software & services,121
71,Health,122
72,Hardware,123
73,E-commerce & direct-to-consumer,124
74,Edtech,125
75,Edtech,7
76,E-commerce & direct-to-consumer,8
77,Cybersecurity,126
78,Hardware,128
79,Internet software & services,129
80,Auto & transportation,130
81,Internet software & services,131
82,Cybersecurity,133
83,E-commerce & direct-to-consumer,134
84,Other,135
85,E-commerce & direct-to-consumer,136
86,Fintech,137
87,Internet software & services,138
88,Internet software & services,139
89,Artificial intelligence,141
90,Fintech,142
91,Supply chain,143
92,logistics,143
94,Fintech,132
95,E-commerce & direct-to-consumer,144
96,Mobile & telecommunications,145
97,Artificial intelligence,146
98,Fintech,147
99,Hardware,29
100,Data management & analytics,30
101,Consumer & retail,148
102,Health,149
103,Fintech,150
104,Internet software & services,151
105,Internet software & services,152
106,Internet software & services,153
107,Internet software & services,154
108,Data management & analytics,155
109,Fintech,156
110,E-commerce & direct-to-consumer,157
111,Internet software & services,158
112,Other,160
113,Mobile & telecommunications,161
114,Internet software & services,162
115,Health,163
116,Health,164
117,E-commerce & direct-to-consumer,165
118,Mobile & telecommunications,166
119,Internet software & services,167
120,Edtech,168
121,Fintech,169
122,E-commerce & direct-to-consumer,170
123,Data management & analytics,171
124,Data management & analytics,172
125,E-commerce & direct-to-consumer,173
126,Health,174
127,Other,175
128,Internet software & services,176
129,Internet software & services,177
130,Internet software & services,178
131,E-commerce & direct-to-consumer,179
132,Data management & analytics,180
133,Edtech,181
134,Health,182
135,Artificial intelligence,183
136,Internet software & services,185
137,Fintech,186
138,Internet software & services,187
139,Cybersecurity,189
140,Internet software & services,190
141,Fintech,191
142,Edtech,192
143,Internet software & services,193
144,Internet software & services,194
145,Fintech,195
146,Hardware,196
147,Edtech,197
148,Fintech,198
149,Auto & transportation,200
150,Data management & analytics,201
151,Artificial intelligence,203
152,Auto & transportation,204
153,Other,205
154,Mobile & telecommunications,206
155,Supply chain,208
156,logistics,208
158,E-commerce & direct-to-consumer,209
159,Fintech,210
160,E-commerce & direct-to-consumer,211
161,Fintech,212
162,Edtech,213
163,Fintech,214
164,Fintech,215
165,Health,216
166,Internet software & services,217
167,E-commerce & direct-to-consumer,218
168,Fintech,220
169,Supply chain,221
170,logistics,221
172,Fintech,222
173,E-commerce & direct-to-consumer,223
174,Internet software & services,224
175,Mobile & telecommunications,225
176,Travel,226
177,E-commerce & direct-to-consumer,227
178,Fintech,228
179,Fintech,229
180,Edtech,230
181,Supply chain,231
182,logistics,231
184,Auto & transportation,232
185,Other,233
186,Edtech,234
187,Cybersecurity,235
188,Internet software & services,236
189,Fintech,237
190,Internet software & services,238
191,Health,239
192,Internet software & services,240
193,Edtech,241
194,Health,242
195,Internet software & services,243
196,Internet software & services,244
197,Internet software & services,245
198,Internet software & services,246
199,E-commerce & direct-to-consumer,247
200,Internet software & services,248
201,Edtech,249
202,Fintech,250
203,Fintech,251
204,Internet software & services,252
205,Auto & transportation,253
206,Fintech,254
207,Fintech,255
208,Internet software & services,256
209,Fintech,257
210,Tiger Global Management,258
211,Tiger Brokers,258
212,DCM Ventures,258
213,Fintech,259
214,Fintech,261
215,Internet software & services,262
216,E-commerce & direct-to-consumer,263
217,Fintech,264
218,Fintech,265
219,Fintech,38
220,E-commerce & direct-to-consumer,266
221,Mobile & telecommunications,267
222,Internet software & services,268
223,Supply chain,269
224,logistics,269
226,Artificial intelligence,270
227,Cybersecurity,271
228,Supply chain,272
229,logistics,272
231,Cybersecurity,304
232,Edtech,273
233,Mobile & telecommunications,274
234,Cybersecurity,275
235,Auto & transportation,276
236,Fintech,277
237,Internet software & services,278
238,Artificial intelligence,279
239,Other,280
240,E-commerce & direct-to-consumer,281
241,Internet software & services,282
242,Internet software & services,283
243,Internet software & services,284
244,Jungle Ventures,285
245,Accel,285
246,Venture Highway,285
247,Internet software & services,286
248,Fintech,287
249,Data management & analytics,288
250,Other,289
251,Auto & transportation,290
252,Cybersecurity,291
253,Internet software & services,292
