investorid,investorname,companyid
1,Creandum,117
228,UBS,76
377,M12,129
892,8VC,312
1355,IFC,478
1472,PSG,520
2006,Lone Pine Capital,710
2732,KKR,973
2,Founders,117
3,Kinnevik,117
4,K9 Ventures,409
5,Menlo Ventures,409
6,Andreessen Horowitz,409
7,Amiti Ventures,502
8,Playground Global,502
9,Aleph,502
10,GCP Capital Partners,773
11,Credit Suisse,966
12,Tiger Global Management,1004
13,Hedosophia,1004
14,Khosla Ventures,1
15,Kleiner Perkins Caufield & Byers,1
16,Collaborative Fund,1
17,Andreessen Horowitz,2
18,New Enterprise Associates,2
19,Battery Ventures,2
20,index Ventures,3
21,DST Global,3
22,Ribbit Capital,3
23,None,4
24,SoftBank Group,5
25,Andreessen Horowitz,5
26,Temasek Holdings,5
27,Forerunner Ventures,6
28,Crosslink Capital,6
29,Homebrew,6
30,Tencent Holdings,7
31,Lightspeed India Partners,7
32,Sequoia Capital India,7
33,GGV Capital,8
34,ZhenFund,8
35,Tencent,8
36,Hillhouse Capital Management,9
37,Boyu Capital,9
38,Sequoia Capital China,9
39,Accel,10
40,AltaIR Capital,10
41,Technology Crossover Ventures,10
42,Tencent Holdings,11
43,Warbug Pincus,11
44,IDG Capital,11
45,Accel Partners,12
46,Sequoia Capital,12
47,Tiger Global Management,13
48,Sequoia Capital China,13
49,Shunwei Capital Partners,13
50,Accel,14
51,Softbank Group,14
52,Anthos Capital,14
53,Sequoia Capital China,15
54,Longfor Capitalm,15
55,Gaorong Capital,15
56,IDG Capital,16
57,Venture51,16
58,Lightspeed Venture Partners,16
59,New Enterprise Associates,17
60,Spar Capital,17
61,Index Ventures,17
62,Andreessen Horowitz,18
63,Thirty Five Ventures,18
64,Sound Ventures,18
65,General Catalyst,19
66,Institutional Venture Partners,19
67,Breyer Capital,19
68,Andreessen Horowitz,20
69,F-Prime Capital,20
70,Venrock,20
71,Khosla Ventures,21
72,Forerunner Ventures,21
73,Sequoia Capital,21
74,DST Global,22
75,Ribbit Capital,22
76,Greenoaks Capital Management,22
77,Tiger Global Management,23
78,Coatue Management,24
79,Sequoia Capital China,24
80,IDG Capital,24
81,Vickers Venture Partners,25
82,IKEA GreenTech,25
83,New Enterprise Associates,26
84,BDT Capital Partners,26
85,Davidson Kempner Capital Management,26
86,Caffeinated Capital,27
87,CRV,27
88,Founder Collective,27
89,LTW Capital,28
90,Legend Capital,28
91,Qualcomm Ventures,28
92,Aviation Industry Corporation of China,29
93,Essence Financial,29
94,Jiangsu Sha Steel Group,29
95,Accel,30
96,83North,30
97,Activant Capital,38
98,Tribe Capital,38
99,General Atlantic,38
100,DFJ Growth Fund,32
101,Coatue Management,32
102,Addition,32
103,Nintendo,33
104,Google,33
105,Pokemon Company International,33
106,Spark Capital,33
107,SoftBank Group,34
108,"Sequoia Capital India,Lightspeed India Partners",34
109,Target Global,35
110,General Catalyst,35
111,Durable Capital Partners,35
112,DST Global,36
113,SoftBank Group,36
114,Mountain Nazca,36
115,SoftBank Group,37
116,Greylock Partners,37
117,Gaorong Capital,37
118,Didi Chuxing,38
119,Diamler,38
120,TMT Investments,38
121,Sutter Hill Ventures,39
122,Liberty Global Ventures,39
123,Coatue Management,39
124,01 Advisors,40
125,Zeev Ventures,40
126,Group 11,40
127,New Enterprise Associates,41
128,T. Rowe Associates,41
129,Lightbank,41
130,KKR,42
131,Tencent Holdings,42
132,Sequoia Capital China,42
133,Kaalari Capital,43
134,Tencent Holdings,43
135,Steadview Capital,43
136,Tenaya Capital,44
137,Coatue Management,44
138,Stripes Group,44
139,D1 Capital Partners,45
140,Stripe,45
141,Coatue Management,45
142,Bloomberg Beta,46
143,Founders Fund,46
144,First Round Capital,46
145,Sixth Street Partners,47
146,OrbiMed Advisors,47
147,Highland Capital Management,47
148,Union Square Ventures,48
149,Venrock,48
150,Andreessen Horowitz,48
151,Tiger Global Management,49
152,Sequoia Capital,49
153,Revo Capital,49
154,Lightspeed Venture Partners,50
155,Social Capital,50
156,Accel,50
157,Sequoia Capital India,51
158,Tiger Global Management,51
159,Matrix Partners India,51
160,Bessemer Venture Partners,52
161,Qualcomm Ventures,52
162,Kleiner Perkins Caufield & Byers,52
163,Menlo Ventures,53
164,Spark Capital,53
165,Union Square Ventures,53
166,Accel,54
167,Y Combinator,54
168,Index Ventures,54
169,Norwest Venture Partners,55
170,Next World Capital,55
171,Wing Venture Capital,55
172,Andreessen Horowitz,56
173,Lightspeed Venture Partners,56
174,Zeev Ventures,56
175,Morgan Creek Digital,57
176,Marcy Venture Partners,57
177,10T Fund,57
178,Tencent,58
179,Morningside Group,58
180,Benchmark,59
181,Greylock Partners,59
182,Tencent Holdings,59
183,Initialized Capital,60
184,General Catalyst,60
185,SignalFire,60
186,General Atlantic,61
187,Goldman Sachs,61
188,New Enterprise Associates,61
189,Slack Fund,62
190,Accel,62
191,Skip Capital,62
192,Sequoia Capital China,63
193,Warburg Pincus,63
194,General Catalyst,63
195,TA Associates,64
196,SoftBank Group,64
197,GS Growth,64
198,Technology Crossover Ventures,65
199,Initialized Capital,66
200,Y Combinator,66
201,Kleiner Perkins Caufield & Byers,66
202,New Enterprise Associates,67
203,Accomplice,67
204,IA Ventures,67
205,Global Founders Capital,68
206,Nortzone Ventures,68
207,Picus Capital,68
208,Union Square Ventures,69
209,Ribbit Capital,69
210,VY Capital,69
211,Atomico,70
212,Insight Partners,70
213,Coatue Management,70
214,Barter Ventures,71
215,Thrive Capital,72
216,Benchmark,72
217,MenloVentures,72
218,Warmsun Holding,73
219,IDG Capital Partners,73
220,Pine Brook,74
221,American Express Ventures,74
222,Kleiner Perkins Caufield & Byers,74
223,Insight Partners,75
224,Sequoia Capital,75
225,Index Ventures,75
226,BlackRock,76
227,Blackstone,76
229,Sequoia Capital India,77
230,Temasek,77
231,PayPal Ventures,77
232,Venrock,78
233,Battery Ventures,78
234,Insight Partners,78
235,NextView Ventures,79
236,Eniac Ventures,79
237,Sequoia Capital,79
238,Alibaba Group,80
239,Boyu Capital,80
240,Borui Capital,80
241,Tencent,81
242,Baidu,81
243,Huasheng Capital,81
244,Technology Crossover Ventures,82
245,A&E Television Networks,82
246,Thrive Capital,83
247,Maverick Ventures,83
248,Redpoint Ventures,83
249,Battery Ventures,84
250,Storm Ventures,84
251,Redpoint Ventures,84
252,Aglae Ventures,85
253,Eurazeo,85
254,Daphni,85
255,Blackstone,86
256,Technology Crossover Ventures,86
257,Summit Partners,86
258,Nexus Venture Partners,87
259,CRV,87
260,Insight Partners,87
261,Matrix Partners,88
262,Andreessen Horowitz,88
263,General Catalyst,88
264,Sequoia Capital China,89
265,IDG Capital,89
266,DCM Ventures,89
267,Founders Fund. Accel,90
268,Creandum,90
269,DST Global,91
270,Andreessen Horowitz,91
271,Sequoia Capital,91
272,Redpoint e.ventures,91
273,Index Ventures,92
274,Battery Ventures,92
275,ICONIQ Capital,92
276,Lightspeed Venture Partners,93
277,Google Ventures,93
278,Lakestar,93
279,Insight Partners,94
280,Kaszek Ventures,95
281,General Atlantic,95
282,SoftBank Group,95
283,China Life Insurance,96
284,China Development Bank Capital,96
285,CITIC Securities International,96
286,Ant Financial Services Group,97
287,GGV Capital,97
288,Andreessen Horowitz,98
289,Spark Capital,98
290,Y Combinator,98
291,DST Global,99
292,Sequoia Capital China,99
293,Tencent Holdings,99
294,Runa Capital,100
295,Acton Capital Partners,100
296,Point Nine Capital,100
297,Hillhouse Capital Management,101
298,Linear Venture,101
299,Morningside Venture Capital,101
300,Baidu Capital,102
301,Linear Venture,102
302,Tencent,102
303,General Atlantic,103
304,3i Group,103
305,Huagai Capital,103
306,Walden International,104
307,Google Ventures,104
308,Intel Capital,104
309,Accel,105
310,Technology Crossover Ventures,105
311,LeapFrog Investments,105
312,Clermont Group,106
313,Coltrane Asset Management,106
314,Toscafund Asset Management,106
315,Insight Partners,107
316,Andalusian Capital Partners,107
317,Matrix Partners India,108
318,Falcon Edge Capital,108
319,SoftBank Group,108
320,Google Ventures,109
321,Benchmark,109
322,FirstMark Capital,109
323,Alven Capital,110
324,Valar Ventures,110
