valuationid,companyid,valuation_$b,financial_stage
1,1,39,None
2,2,38,None
3,3,33,None
4,4,32,Acq
5,5,27,None
6,6,25,Divestiture
7,7,21,None
8,8,20,None
9,9,20,None
10,10,17.5,None
11,11,15.5,Acquired
12,12,15,None
13,13,15,None
14,14,15,None
15,15,15,None
16,16,15,Acq
17,17,13.4,None
18,18,13.3,None
19,19,13,None
20,20,12.6,None
21,21,12.4,None
22,22,12.3,None
23,23,12,None
24,24,12,None
25,25,12,None
26,26,12,None
27,27,11.7,None
28,28,11.4,None
29,29,11.1,None
30,30,11,None
31,38,11,None
32,31,11,None
33,32,10.2,None
34,33,9,None
35,34,9.6,None
36,35,8.75,None
37,36,8.7,None
38,37,8.6,None
39,38,8.4,None
40,31,8.4,None
41,39,8.3,None
42,40,8.3,None
43,41,8.1,None
44,42,8,None
45,43,8,None
46,44,8,None
47,45,8,None
48,46,8,None
49,47,7.83,None
50,48,7.6,None
51,49,7.5,None
52,50,7.5,None
53,51,7.5,None
54,52,7.4,None
55,53,7.4,Acquired
56,54,7.3,None
57,55,7.25,None
58,56,7.25,None
59,57,7.1,None
60,58,7,None
61,59,7,None
62,60,7,None
63,61,6.8,None
64,62,6.8,None
65,63,6.6,None
66,64,6.5,IPO
67,65,6.5,None
68,66,6.5,None
69,67,6.3,None
70,68,6.3,None
71,69,6.28,None
72,70,6.2,None
73,71,6.1,None
74,72,6.1,None
75,73,6,None
76,74,6,None
77,75,6,None
78,76,6,None
79,77,6,None
80,78,5.2,None
81,79,5.99,None
82,80,5.78,IPO
83,81,5.77,IPO
84,82,5.7,Acquired
85,83,5.7,None
86,84,5.7,None
87,85,5.7,None
88,86,5.7,None
89,87,5.6,None
90,88,5.6,None
91,89,5.3,None
92,90,5.3,None
93,91,5.25,None
94,92,5.25,None
95,93,5.2,Acq
96,94,5.1,None
97,95,5.1,None
98,96,5,None
99,97,5,None
100,98,5.5,None
101,99,5.5,None
102,100,5.5,None
103,101,5,None
104,102,5,None
105,103,5,Take
106,104,5,None
107,105,5,None
108,106,5,Acq
109,107,5,Acq
110,108,5,None
111,109,5,None
112,110,5,None
113,111,5,None
114,112,5,None
115,113,5,None
116,114,4.9,None
117,115,4.8,None
118,116,4.8,Acquired
119,117,4.7,None
120,118,4.6,None
121,119,5.85,None
122,120,4.6,None
123,121,4.6,None
124,122,4.6,None
125,123,4.58,IPO
126,124,4.53,None
127,125,4.5,None
128,126,4.5,None
129,127,4.5,None
130,128,4.58,IPO
131,129,4.4,None
132,130,4.4,None
133,131,4.7,None
134,132,2.7,None
135,133,4.3,None
136,134,4.3,None
137,135,4.2,None
138,136,4.25,None
139,137,4.2,None
140,138,4.2,None
141,139,4.2,None
142,140,4.2,None
143,141,4.1,None
144,142,4.11,None
145,143,4.1,None
146,144,4,None
147,145,4,Divestiture
148,146,4,None
149,147,4,Management
150,148,4,None
151,149,4,None
152,150,4,None
153,151,4,Acquired
154,152,4,None
155,153,4,None
156,154,4,Divestiture
157,155,4,None
158,156,4,None
159,157,4,None
160,158,4,None
161,159,4,None
162,160,4,None
163,161,4,None
164,162,4,None
165,163,3.92,None
166,164,3.8,None
167,165,3.8,None
168,166,3.8,None
169,167,3.75,None
170,168,3.75,None
171,169,3.75,None
172,170,3.75,None
173,171,3.7,None
174,172,3.7,None
175,173,3.7,None
176,174,3.7,None
177,175,3.7,None
178,176,3.7,None
179,177,3.7,None
180,178,3.6,None
181,179,3.6,None
182,180,3.6,None
183,181,3.6,None
184,182,3.52,None
185,183,3.5,None
186,184,3.5,None
187,185,3.5,None
188,186,3.5,None
189,187,3.5,None
190,188,3.5,None
191,189,3.5,None
192,190,3.5,None
193,191,3.5,None
194,192,3.5,None
195,193,3.5,None
196,194,3.5,None
197,195,3.5,None
198,196,3.5,None
199,197,3.44,None
200,198,3.4,None
201,199,3.4,None
202,200,3.35,None
203,201,3.35,None
204,202,3.35,None
205,203,3.32,None
206,204,3.31,None
207,205,3.3,None
208,206,3.3,Acquired
209,207,3.3,None
210,208,3.3,None
211,209,3.3,None
212,210,3.25,None
213,211,3.2,None
214,212,3.2,None
215,213,3.2,None
216,214,3.2,None
217,215,3.2,None
218,216,3.2,None
219,217,3.2,None
220,218,3.2,None
221,219,3.15,None
222,220,3.15,None
223,221,3.1,None
224,222,3.1,None
